Danilo Pereira,MID,21,7.401012,Portugal,injured,3330000.0,-210000.0,"['injured', 2, None, None, None]",0,0,6.99,294
David Raum,DEF,21,7.3813320000000004,Germany,ok,3440000.0,90000.0,"[2, 2, None, None, None]",0,0,7.14,169
Davy Klaassen,MID,21,7.407919999999999,Netherlands,ok,3260000.0,80000.0,"[-2, 6, None, None, None]",0,0,6.8,447
Diogo Dalot,DEF,21,7.581008,Portugal,ok,2340000.0,-70000.0,"[None, None, None, None, None]",0,0,7.16,294
Djibril Sow,MID,21,6.923586,Switzerland,ok,2560000.0,-10000.0,"[-2, 2, None, None, None]",0,0,6.87,39
Eden Hazard,ATT,21,7.334397999999999,Belgium,ok,4560000.0,-90000.0,"[2, 2, None, None, None]",0.5,0,6.83,3
Enzo Fernández,MID,21,7.874986000000001,Argentina,ok,3370000.0,150000.0,"[10, -2, None, None, None]",0,0,7.49,257
Dier,DEF,21,7.261992,England,ok,2660000.0,-70000.0,"[None, 2, None, None, None]",0,0,6.98,202
Hakim Ziyech,MID,21,7.698976,Morocco,ok,4450000.0,140000.0,"[6, -2, None, None, None]",0.35,0.1,7.07,119
Joachim Andersen,DEF,21,7.2612119999999996,Denmark,ok,2710000.0,70000.0,"[2, 6, None, None, None]",0,0,6.99,194
Jesús Ferreira,ATT,21,7.241448,US,ok,1690000.0,-40000.0,"[None, None, None, None, None]",0,0,7.24,1
Joakim Maehle,DEF,21,7.001512,Denmark,ok,3000000.0,0.0,"[2, 6, None, None, None]",0,0,6.74,194
João Mário,MID,21,7.6127720000000005,Portugal,ok,2840000.0,-60000.0,"[None, 0, None, None, None]",0,0,7.19,294
João Palhinha,MID,21,7.348072,Portugal,ok,2310000.0,0.0,"[2, 0, None, None, None]",0,0,6.94,294
Henderson,MID,21,7.261992,England,ok,2910000.0,-30000.0,"[0, None, None, None, None]",0,0,6.98,202
Junya Ito,MID,21,7.00928,Japan,ok,2690000.0,-20000.0,"[2, 6, None, None, None]",0,0,7.4,-264
Kalvin Phillips,MID,21,7.033104,England,ok,2530000.0,-60000.0,"[None, None, None, None, None]",0,0,6.76,202
Loïs Openda,ATT,21,7.05423,Belgium,ok,1830000.0,-70000.0,"[None, 2, None, None, None]",0,0,7.05,3
Lovro Majer,MID,21,7.045769999999999,Croatia,ok,2320000.0,140000.0,"[10, 2, None, None, None]",0,0,7.05,-3
Luke Shaw,DEF,21,7.23078,England,ok,4760000.0,100000.0,"[2, 6, None, None, None]",0,0,6.95,202
Guendouzi,MID,21,7.471392000000001,France,ok,1890000.0,-30000.0,"[None, None, None, None, None]",0,0,6.98,352
Pašalić,MID,21,6.775932,Croatia,ok,3160000.0,0.0,"[2, 2, None, None, None]",0,0,6.78,-3
Marten de Roon,MID,21,7.473284,Netherlands,ok,1830000.0,-10000.0,"[0, 0, None, None, None]",0,0,6.86,447
Min-jae Kim,DEF,21,6.701344000000001,South Korea,doubt,2300000.0,-40000.0,"[2, 6, None, None, None]",0,0,7.12,-294
Mislav Orsic,ATT,21,7.255643999999999,Croatia,ok,2080000.0,0.0,"[6, 0, None, None, None]",0,0,7.26,-3
Nicolás De La Cruz,MID,21,7.517296000000001,Uruguay,ok,2240000.0,-30000.0,"[None, 2, None, None, None]",0,0,7.12,279
Mazraoui,DEF,21,7.166600000000001,Morocco,ok,2740000.0,100000.0,"[2, 2, None, None, None]",0,0,7.0,119
Nico Schlotterbeck,DEF,21,7.526064000000001,Germany,ok,1750000.0,0.0,"[0, -2, None, None, None]",0,0,7.28,169
Niclas Füllkrug,ATT,21,7.774176,Germany,ok,2580000.0,190000.0,"[9, 2, None, None, None]",0,0,7.52,169
Tagliafico,DEF,21,7.338772000000001,Argentina,ok,3250000.0,-180000.0,"[None, -2, None, None, None]",0,0,6.98,257
Giroud,ATT,21,7.70688,France,ok,6160000.0,270000.0,"[2, 12, None, None, None]",0,0,7.2,352
Pedro,ATT,21,7.892784,Brazil,ok,1640000.0,-40000.0,"[None, None, None, None, None]",0,0,7.08,574
Rogelio Funes Mori,ATT,21,7.092424,Mexico,ok,1750000.0,-60000.0,"[None, None, None, None, None]",0,0,6.91,132
Ronald Araújo,DEF,21,7.422274000000001,Uruguay,injured,2560000.0,-60000.0,"['injured', 'injured', None, None, None]",0,0,7.03,279
Busquets,MID,21,7.590688,Spain,ok,6230000.0,160000.0,"[2, 6, None, None, None]",0,0,7.21,264
Weston McKennie,MID,21,6.8813759999999995,US,ok,2490000.0,80000.0,"[6, 2, None, None, None]",0,0,6.88,1
En-Nesyri,ATT,21,6.8696980000000005,Morocco,ok,3440000.0,20000.0,"[2, 2, None, None, None]",0,0,6.71,119
Zambo Anguissa,MID,21,6.231808,Cameroon,ok,3370000.0,0.0,"[2, 6, None, None, None]",0,0,7.04,-574
Brenden Aaronson,MID,20,6.721343999999999,US,ok,2400000.0,0.0,"[2, 6, None, None, None]",0,0,6.72,1
Conor Coady,DEF,20,7.261992,England,ok,1100000.0,-20000.0,"[None, None, None, None, None]",0,0,6.98,202
Daley Blind,DEF,20,7.7347399999999995,Netherlands,ok,3420000.0,70000.0,"[2, 2, None, None, None]",0,0,7.1,447
Danilo,DEF,20,7.91508,Brazil,injured,3540000.0,-220000.0,"['injured', 2, None, None, None]",0,0,7.10,574
Denis Zakaria,MID,20,6.732104,Switzerland,ok,2810000.0,-80000.0,"[None, None, None, None, None]",0,0,6.68,39
Mertens,ATT,20,7.044224,Belgium,ok,2840000.0,-40000.0,"[6, None, None, None, None]",0,0,7.04,3
Camavinga,MID,20,7.353648000000001,France,ok,3570000.0,-70000.0,"[None, 'doubt', None, None, None]",0,0,6.87,352
Emiliano Martínez,GK,20,7.212604000000001,Argentina,ok,5430000.0,60000.0,"[2, -2, None, None, None]",0,0,6.86,257
Edouard Mendy,GK,20,6.5892,Senegal,ok,3220000.0,-10000.0,"[6, -2, None, None, None]",0,0,6.8,-155
Ellyes Skhiri,MID,20,6.497904,Tunisia,ok,2230000.0,0.0,"[2, 2, None, None, None]",0,0,6.99,-352
Eric García,DEF,20,7.338016,Spain,ok,2910000.0,-130000.0,"[None, None, None, None, None]",0,0,6.97,264
Fred,MID,20,7.74786,Brazil,ok,4250000.0,100000.0,"[2, 6, None, None, None]",0,0,6.95,574
