Vinícius Jr,Vinícius Júnior
Kike Salas,Kike Salas
Pedrosa,Adrià Pedrosa
Tanguy Nianzou,Tanguy Nianzou
Ørjan Nyland,Ørjan Nyland
Alfonso Pastor,Alfonso Pastor
Myrto Uzuni,Myrto Uzuni
José Callejón,José Callejón
Gonzalo Villar,Gonzalo Villar
André Ferreira,André Ferreira
Bryan Zaragoza,Bryan Zaragoza
Carlos Neva,Carlos Neva
Gumbau,Gerard Gumbau
Miguel Rubio,Miguel Rubio
Ricard Sánchez,Ricard Sánchez
Antoñín,Antoñín
Puertas,Antonio Puertas
Ignasi Miquel,Ignasi Miquel
Melendo,Óscar Melendo
Sergio Ruiz,Sergio Ruiz Alonso
Weissman,Shon Weissman
Wilson Manafá,Wilson Manafá
Famara Diédhiou,Famara Diédhiou
Jesús Vallejo,Jesús Vallejo
Njegos Petrovic,Njegoš Petrović
Raúl Torrente,Raúl Torrente
Víctor Díaz,Víctor Díaz
Perea,Alberto Perea
Alpha Diounkou,Alpha Dionkou
Raúl Fernández,Raúl Fernández
Bodiger,Yann Bodiger
Alberto Soro,Alberto Soro
Lucas Robertone,Lucas Robertone
Fernando Martinez,Fernando Martínez
Melero,Gonzalo Melero
Luis J. Suárez,Luis Javier Suárez
Embarba,Adrián Embarba
Lázaro,Lázaro
Edgar González,Edgar González
Leo Baptistão,Léo Baptistão
Pozo,Alejandro Pozo
Baba,Iddrisu Baba
Ibrahima Koné,Ibrahima Kone
Largie Ramazani,Largie Ramazani
Marc Pubill,Marc Pubill
Álex Centelles,Álex Centelles
Chumi,Chumi
Houboulang Mendes,Houboulang Mendes
Kaiky,Kaiky
Akieme,Sergio Akieme
Arnau Puigmal,Arnau Puigmal
Diego Mariño,Diego Mariño
Dion Lopy,Dion Lopy
Eguaras,Íñigo Eguaras
Maximiano,Luís Maximiano
Marko Milovanović,Marko Milovanović
Gui,Gui
Sergio Arribas,Sergio Arribas
Andrei Ratiu,Andrei Ratiu
Ianis Hagi,Ianis Hagi
Kieran Tierney,Kieran Tierney
